name,milnovecientos,dosmilveinte,percentage,province,densidad
Alfajarín,910,2339,-157.03,Zaragoza,137.57
Alfamén,628,1443,-129.77,Zaragoza,102.04
Alforque,387,65,83.20,Zaragoza,10.62
Alhama de Aragón,1616,1011,37.43,Zaragoza,31.14
Almochuel,99,24,75.75,Zaragoza,32
Almonacid de la Cuba,667,230,65.51,Zaragoza,131.33
Almonacid de la Sierra,2725,753,72.36,Zaragoza,55.21
Alpartir,1042,568,45.48,Zaragoza,55.21
Ambel,955,253,73.50,Zaragoza,56.65
Anento,387,95,75.45,Zaragoza,32.54
Aniñón,1870,684,63.42,Zaragoza,61
Aranda de Moncayo,1585,145,90.85,Zaragoza,21.52
Ardisa,484,74,84.71,Zaragoza,52.46
Ariza,1578,1100,30.29,Zaragoza,64.19
Artieda,269,80,70.26,Zaragoza,91
Arándiga,1121,278,75.20,Zaragoza,50.22
Asín,336,98,70.83,Zaragoza,27.28
Atea,1225,147,88.00,Zaragoza,103.08
Ateca,3126,1762,43.63,Zaragoza,13.57
Azuara,2388,529,77.84,Zaragoza,18.47
Añón de Moncayo,1106,222,79.92,Zaragoza,34.67
Badules,440,78,82.27,Zaragoza,84.71
Bagüés,243,16,93.41,Zaragoza,165.81
Balconchán,178,20,88.76,Zaragoza,20.09
Bardallur,834,254,69.54,Zaragoza,30.72
Belchite,3333,1526,54.21,Zaragoza,19
Belmonte de Gracián,997,194,80.54,Zaragoza,15.68
Berdejo,363,40,88.98,Zaragoza,27.34
Berrueco,232,32,86.20,Zaragoza,273.68
Biel,1659,155,90.65,Zaragoza,43.68
Bijuesca,833,94,88.71,Zaragoza,19.39
Biota,1383,930,32.75,Zaragoza,19
Bisimbre,291,81,72.16,Zaragoza,57.08
Boquiñeni,920,776,15.65,Zaragoza,128
Bordalba,520,52,90.00,Zaragoza,11.22
Borja,5667,4978,12.15,Zaragoza,18.87
Botorrita,351,490,-39.60,Zaragoza,41.58
Brea de Aragón,1467,1589,-8.31,Zaragoza,107.29
Bubierca,914,65,92.88,Zaragoza,19.81
Bujaraloz,1510,980,35.09,Zaragoza,13.38
Bulbuente,1052,220,79.08,Zaragoza,29.54
Bureta,685,206,69.92,Zaragoza,120.92
Bárboles,640,282,55.93,Zaragoza,25.44
Cabañas de Ebro,493,496,-.60,Zaragoza,11.91
Cabolafuente,474,53,88.81,Zaragoza,24.86
Cadrete,647,4235,-554.55,Zaragoza,7.61
Calatayud,11958,20092,-68.02,Zaragoza,8.53
Calatorao,2300,2860,-24.34,Zaragoza,39.24
Calcena,854,73,91.45,Zaragoza,11.86
Calmarza,343,61,82.21,Zaragoza,154.25
Campillo de Aragón,701,146,79.17,Zaragoza,48.15
Carenas,1181,189,83.99,Zaragoza,64.74
Cariñena,3313,3355,-1.26,Zaragoza,28.15
Caspe,7808,10026,-28.40,Zaragoza,36.86
Castejón de Alarba,294,88,70.06,Zaragoza,31.22
Castejón de Valdejasa,1095,209,80.91,Zaragoza,82.51
Castejón de las Armas,750,78,89.60,Zaragoza,503.15
Castiliscar,823,254,69.13,Zaragoza,17.56
Cervera de la Cañada,904,260,71.23,Zaragoza,17.56
Cerveruela,443,34,92.32,Zaragoza,17.56
Cetina,1312,583,55.56,Zaragoza,40.68
Chiprana,1425,497,65.12,Zaragoza,29.22
Chodes,483,104,78.46,Zaragoza,23.49
