1910,2018,municipio,cp,densidad,foto
270,73,Artieda,50035,5.37,Artieda
387,96,AsÃ­n,50036,5.19,Asi­n
1192,156,Atea,50037,4.49,Atea
2756,543,Azuara,50039,3.27,Azuara
393,83,Badules,50040,4.13,Badules
215,12,BagÃ¼Ã©s,50041,0.39,Bagues
191,17,BalconchÃ¡n,50042,0.89,Balconchan
827,261,Bardallur,50044,9.54,Bardallur
3522,1528,Belchite,50045,5.58,Belchite
998,198,Belmonte de Gracián,50046,4.53,BelmontedeGracian
356,47,Berdejo,50047,2.42,Berdejo
241,33,Berrueco,50048,1.73,Berrueco
884,98,Bijuesca,50050,1.71,Bijuesca
1463,948,Biota,50051,7.4,Biota
267,97,Bisimbre,50052,8.64,Bisimbre
524,56,Bordalba,50054,1.34,Bordalba
808,63,Bubierca,50058,2.13,Bubierca
1542,1005,Bujaraloz,50059,8.31,Bujaraloz
896,217,Bulbuente,50060,8.52,Bulbuente
420,72,El Buste,50063,9.46,ElBuste
615,32,Cabolafuente,50065,0.81,Cabolafuente
907,75,Calcena,50069,1.15,Calcena
380,59,Calmarza,50070,2.09,Calmarza
692,149,Campillo de Aragón,50071,4.04,CampillodeAragon
964,177,Carenas,50072,5.66,Carenas
357,92,Castejón de Alarba,50075,5.23,CastejondeAlarba
721,90,CastejÃ³n de Las Armas,50076,5.12,CastejondeLasArmas
870,265,Castiliscar,50078,6.51,Castiliscar
1019,271,Cervera de La Cañada,50079,9.27,CerveradeLaCanada
431,35,Cerveruela,50080,1.48,Cerveruela
1571,592,Cetina,50081,7.51,Cetina
484,93,Cimballa,50082,2.91,Cimballa
444,65,Clarés de Ribota,50084,3.61,ClaresdeRibota
919,183,Codos,50086,2.91,Codos
212,37,Contamina,50087,2.63,Contamina
602,168,Cubel,50090,2.86,Cubel
355,39,Las Cuerlas,50091,1.19,LasCuerlas
626,113,Chodes,50093,7.07,Chodes
573,36,Embid de Ariza,50096,0.87,EmbiddeAriza
1049,189,Encinacorba,50098,5.14,Encinacorba
559,386,Farlete,50104,3.7,Farlete
1406,354,FayÃ³n,50105,5.26,Fayon
258,54,Fombuena,50108,2.04,Fombuena
615,99,El Frago,50109,2.93,ElFrago
1588,384,El Frasno,50110,7.89,ElFrasno
591,121,Fuendetodos,50114,1.95,Fuendetodos
1000,229,Fuentes de Jiloca,50116,8.37,FuentesdeJiloca
396,154,Gallocanta,50117,5.18,Gallocanta
448,54,Godojos,50120,3.22,Godojos
491,67,Grisel,50122,4.61,Grisel
2047,506,Herrera de Los Navarros,50124,4.81,HerreradeLosNavarros
1509,404,Ibdes,50125,7.17,Ibdes
356,31,Isuerre,50128,1.54,Isuerre
491,280,Jaraba,50129,6.54,Jaraba
418,237,JaulÃ­n,50131,5.14,Jauli­n
593,111,Lagata,50133,4.69,Lagata
657,132,Langa del Castillo,50134,2.63,LangadelCastillo
2236,661,Lécera,50136,6.06,Lecera
1798,1162,Leciñena,50137,6.5,Lecinena
149,53,Lechón,50138,3.03,Lechon
518,28,Lobera de Onsella,50142,0.87,LoberadeOnsella
545,35,Longás,50144,0.71,Longas
1702,310,Luesia,50148,2.44,Luesia
344,34,Luesma,50149,1.17,Luesma
2054,701,Luna,50151,2.26,Luna
474,151,Mainar,50154,4.43,Mainar
565,100,Malanquilla,50155,2.73,Malanquilla
702,98,Manchones,50161,3.65,Manchones
784,181,Mara,50162,8.58,Mara
1431,465,Mediana de Aragón,50164,5.13,MedianadeAragon
3427,2301,Mequinenza,50165,7.48,Mequinenza
641,271,Mesones de Isuela,50166,5.58,MesonesdeIsuela
735,240,Mezalocha,50167,3.95,Mezalocha
229,32,Mianos,50168,2.15,Mianos
986,432,Miedes de Aragón,50169,7.8,MiedesdeAragon
902,413,Monegrillo,50170,2.25,Monegrillo
735,94,Moneva,50171,1.54,Moneva
652,212,Monreal de Ariza,50172,3.41,MonrealdeAriza
956,159,Monterde,50173,2.84,Monterde
498,94,MontÃ³n,50174,5.34,Monton
1395,362,Moros,50178,6.83,Moros
1138,245,Moyuela,50179,5.72,Moyuela
1323,385,Munébrega,50183,9.39,Munebrega
530,107,Murero,50184,5.86,Murero
1213,174,Murillo de Gállego,50185,3.18,MurillodeGallego
439,40,Navardún,50186,1.66,Navardún
296,66,NigÃ¼ella,50187,2.16,Niguella
267,29,Nombrevilla,50188,1.65,Nombrevilla
1899,962,Nonaspe,50189,8.63,Nonaspe
937,325,Nuévalos,50192,7.76,Nuevalos
635,106,Olvés,50194,5.25,Olves
495,59,Orcajo,50195,2.07,Orcajo
438,118,Orera,50196,5.95,Orera
762,104,Orés,50197,1.9,Ores
333,52,Oseja,50198,4.33,Oseja
941,158,Paracuellos de La Ribera,50202,4.93,ParacuellosdeLaRibera
427,90,Las Pedrosas,50205,4.92,LasPedrosas
807,577,Perdiguera,50206,5.25,Perdiguera
374,97,Piedratajada,50207,4.28,Piedratajada
2473,2373,Pina de Ebro,50208,7.67,PinadeEbro
648,37,Los Pintanos,50210,0.46,LosPintanos
956,303,Plasencia de JalÃ³n,50211,8.71,PlasenciadeJalon
735,101,Plenas,50213,2.66,Plenas
469,22,Pomer,50214,0.66,Pomer
319,21,Pozuel de Ariza,50215,0.92,PozueldeAriza
655,284,Pozuelo de Aragón,50216,8.84,PozuelodeAragon
659,120,Puebla de Albortón,50218,1.57,PuebladeAlborton
264,44,Puendeluna,50220,4.45,Puendeluna
543,36,Purujosa,50221,1.01,Purujosa
242,74,Retascón,50224,2.94,Retascon
330,119,Romanos,50227,6.09,Romanos
924,325,Rueda de Jalón,50228,3.02,RuedadeJalon
204,72,Ruesca,50229,6.19,Ruesca
1085,198,Salvatierra de Esca,50232,2.43,SalvatierradeEsca
439,112,Samper del Salz,50233,9.74,SamperdelSalz
979,108,Santa Cruz de GrÃ­o,50236,5.53,SantaCruzdeGrÃ­o
253,125,Santa Cruz de Moncayo,50237,6.4,SantaCruzdeMoncayo
936,98,Santa Eulalia de Gállego,50238,1.21,SantaEulaliadeGallego
323,61,Santed,50239,3.42,Santed
3087,1170,Sástago,50240,3.88,Sastago
294,95,Sediles,50242,8.11,Sediles
1337,370,Sestrica,50243,9.05,Sestrica
708,253,Sierra de Luna,50244,5.83,SierradeLuna
1628,88,Sigüés,50245,0.86,Sigües
520,31,Sisamón,50246,0.74,Sisamon
3696,588,Sos del Rey Católico,50248,2.71,SosdelReyCatolico
1292,323,Tabuenca,50249,3.76,Tabuenca
590,63,Talamantes,50250,1.34,Talamantes
802,192,Tierga,50254,2.9,Tierga
975,214,Tobed,50255,6.6,Tobed
543,86,Torralba de Los Frailes,50256,2.12,TorralbadeLosFrailes
637,172,Torralba de Ribota,50257,4.25,TorralbadeRibota
392,61,Torralbilla,50258,2.35,Torralbilla
316,63,Torrehermosa,50259,2.98,Torrehermosa
331,32,Torrelapaja,50260,2.04,Torrelapaja
1988,206,Torrijo de La Cañada,50263,2.76,TorrijodeLaCanada
829,180,Tosos,50264,2.62,Tosos
312,89,Trasmoz,50265,4.87,Trasmoz
697,120,Trasobares,50266,1.67,Trasobares
3094,650,Uncastillo,50267,2.81,Uncastillo
510,55,Undués de Lerda,50268,1.27,UnduesdeLerda
1004,38,Urriés,50270,1.01,Urries
1476,271,Used,50271,3.17,Used
194,30,Valdehorna,50273,3.77,Valdehorna
367,64,Val de San MartÃ­n,50274,2.49,ValdeSanMarti­n
245,112,Valmadrid,50275,2.21,Valmadrid
436,142,Valpalmas,50276,3.56,Valpalmas
1171,215,Velilla de Ebro,50278,3.59,VelilladeEbro
579,90,Velilla de Jiloca,50279,9,VelilladeJiloca
447,77,La VilueÃ±a,50282,8.94,LaViluena
305,88,Villadoz,50283,5.12,Villadoz
1336,170,Villafeliche,50284,7.72,Villafeliche
272,99,Villalba de Perejil,50286,7.42,VillalbadePerejil
1280,319,Villalengua,50287,7.94,Villalengua
438,46,Villanueva de Jiloca,50289,0.6,VillanuevadeJiloca
1124,463,Villanueva de Huerva,50290,6.09,VillanuevadeHuerva
1175,102,Villar de Los Navarros,50291,2.08,VillardeLosNavarros
2435,466,Villarroya de La Sierra,50293,5.12,VillarroyadeLaSierra
252,68,Villarroya del Campo,50294,0.74,VillarroyadelCampo
621,49,Vistabella,50295,2.24,Vistabella
1735,140,Biel,50901,1.07,Biel
182,86,Marracos,50902,5.08,Marracos
